smiles,APR_HepG2_CellLoss_72h_dn,APR_HepG2_p53Act_72h_up,APR_HepG2_MitoMembPot_24h_dn,APR_HepG2_MitoMass_72h_up,APR_Hepat_DNATexture_24hr_up,APR_HepG2_MitoMembPot_1h_dn,APR_HepG2_NuclearSize_72h_up,APR_HepG2_MitoMass_24h_up,APR_HepG2_CellCycleArrest_72h_dn,APR_HepG2_MitoMass_24h_dn,APR_HepG2_CellCycleArrest_24h_up,APR_HepG2_CellCycleArrest_24h_dn,APR_Hepat_Apoptosis_24hr_up,APR_HepG2_MitoMass_72h_dn,APR_Hepat_MitoFxnI_48hr_dn,APR_HepG2_OxidativeStress_72h_up,APR_HepG2_MicrotubuleCSK_72h_dn,APR_HepG2_MicrotubuleCSK_24h_dn,APR_Hepat_NuclearSize_48hr_dn,APR_HepG2_p53Act_24h_up,APR_HepG2_MitoticArrest_24h_up,APR_HepG2_MicrotubuleCSK_24h_up,APR_HepG2_StressKinase_24h_up,APR_HepG2_MitoticArrest_72h_up,APR_Hepat_DNADamage_24hr_up,APR_Hepat_MitoFxnI_1hr_dn,APR_HepG2_MicrotubuleCSK_72h_up,APR_HepG2_NuclearSize_72h_dn,APR_Hepat_CellLoss_24hr_dn,APR_HepG2_StressKinase_72h_up,APR_Hepat_DNATexture_48hr_up,APR_Hepat_NuclearSize_24hr_dn,APR_Hepat_Steatosis_24hr_up,APR_HepG2_CellLoss_24h_dn,APR_Hepat_Steatosis_48hr_up,APR_Hepat_CellLoss_48hr_dn,APR_Hepat_MitoFxnI_24hr_dn,APR_HepG2_MitoMembPot_72h_dn,APR_HepG2_OxidativeStress_24h_up,APR_HepG2_StressKinase_1h_up,APR_HepG2_NuclearSize_24h_dn,APR_Hepat_Apoptosis_48hr_up,APR_Hepat_DNADamage_48hr_up
O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(OC1=CC(Cl)=CC=C1)C(O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,1.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,,,1.0,0.0,,1.0,,,,1.0,,,,1.0,1.0,,0.0,,
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC1=CC=C(NC2=CC=CC=C2)C=C1,1.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,1.0,,0.0,,
BrC1=CC=C(OC2=CC=CC=C2)C=C1,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,,1.0,,,,0.0,0.0,,0.0,,
CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1,1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,,1.0,,,,0.0,0.0,,0.0,,
NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCCCC(C=O)=CC1=CC=CC=C1,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,1.0,0.0,,1.0,,,,0.0,,,,0.0,0.0,,0.0,,
NC(=O)C(Br)(Br)C#N,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCNC1=CC(C)=CC=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,,0.0,,,,1.0,,,,0.0,1.0,,0.0,,
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
COP(N)(=O)SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCCN(CCO)CCO,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(=O)OCC(COC(C)=O)OC(C)=O,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCN(CCCC)CCCC,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
C1=CC=C(C=C1)N=NC1=CC=CC=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,1.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,,1.0,,,,1.0,,,,1.0,1.0,,0.0,,
CCCC1=CC=CC=C1,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCNC1=CC=CC=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(=O)NC1=CC=C(O)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCC1=CC=C(O)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCC1=CC=CC=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCC1CCC(=O)O1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCC(CC)CO,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,1.0,1.0,1.0,0.0,,,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,,1.0,,,,1.0,,,,0.0,1.0,,0.0,,
C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(=O)OCC,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
O=C1CCCCCN1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O,1.0,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,,1.0,,,,1.0,,,,0.0,1.0,,0.0,,
CC1=CC(C)=C(O)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(C)=CCC\C(C)=C\COC(C)=O,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCOC(=O)CCCCC(=O)OCCCC,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
COC(=O)NC1=NC2=CC=CC=C2N1,1.0,1.0,0.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,,,0.0,0.0,,1.0,,,,1.0,,,,0.0,1.0,,0.0,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,,1.0,,,,1.0,,,,0.0,1.0,,0.0,,
COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(CCO)CCC=C(C)C,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(C)=CCC\C(C)=C\CO,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC(C)=CCC\C(C)=C/CO,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCC(=O)OCCC(C)C,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CCCCCCC(=O)OCC,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC1=CC=C(Cl)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC1=CC=C(O)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
ClC1=CC=C(Cl)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
NC1=CC=C(Cl)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC1=CC=C(N)C=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
COC(=O)CCC(=O)OC,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
C1OC1C1CCC2OC2C1,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12,1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,,1.0,,,,0.0,1.0,,0.0,,
O=C(CCCCCCCCC1=CN=CC=C1)N1CCC(CC1)C=C(C1=CC=CC=C1)C1=CC=CC=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
OCCCl,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
OCCO,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,
